,Unnamed: 0,word,entity_group
0,0,Buongiorno,others
1,1,"Dario,;",others
2,2,avrei,others
3,3,una,others
4,4,spedizione,others
5,5,pronta,others
6,6,per,others
7,7,il,others
8,8,Canada,delivery_state
9,9,",",others
10,10,si,others
11,11,tratta,others
12,12,di,others
13,13,:;,others
14,14,8,quantity
15,15,cartoni,package_type
16,16,;,others
17,17,51x37x60;,measures
18,18,5,quantity
19,19,cartoni,package_type
20,20,;,others
21,21,"50,5x36,5x31,5",measures
22,22,;,others
23,23,Tot.,others
24,24,13,total_quantity
25,25,cartoni,package_type
26,26,;,others
27,27,"Kg 214,74",weight
28,28,;,others
29,29,Volume,others
30,30,"1,194;",total_volume
31,31,Riuscite,others
32,32,a,others
33,33,mandarmi,others
34,34,la,others
35,35,quotazione,others
36,36,e,others
37,37,a,others
38,38,ritirare,others
39,39,domani?;,others
40,40,Grazie!;,others
41,41,Edea Srl,company
42,0,Buongiorno,others
43,1,Mirko;,others
44,2,Di,others
45,3,seguito,others
46,4,invio,others
47,5,i,others
48,6,dati,others
49,7,per,others
50,8,i,others
51,9,quali,others
52,10,chiedo,others
53,11,gentilmente,others
54,12,una,others
55,13,quotazione.,others
56,14,Tenga,others
57,15,conto,others
58,16,per,others
59,17,cortesia,others
60,18,che,others
61,19,le,others
62,20,intestazioni,others
63,21,della,others
64,22,merce,others
65,23,sono,others
66,24,4,others
67,25,mentre,others
68,26,le,others
69,27,destinazioni,others
70,28,sono,others
71,29,2,others
72,30,Si,others
73,31,tratta,others
74,32,sempre,others
75,33,di,others
76,34,"calendari,",commodity
77,35,cartoline,commodity
78,36,e,commodity
79,37,cataloghi.,commodity
80,38,RITIRO,others
81,39,PRESSO;,others
82,40,Cartotecnica,others
83,41,2,others
84,42,EMME,others
85,43,Bassano d. Grappa,pickup_location
86,44,;,others
87,45,MATERIALE;,others
88,46,intestazione;,others
89,47,destinazione;,others
90,48,N,others
91,49,bancali,others
92,50,;,others
93,51,misura;,others
94,52,peso,others
95,53,COMPLESS,others
96,54,IVO,others
97,55,KG,others
98,56,;,others
99,57,COMMONWEALT SOUVENIRS,company
101,59,4862,others
102,60,UN,others
103,61,ION MAINE,others
104,62,-,others
105,63,USA,others
106,64,;,others
107,65,1,others
108,66,;,others
109,67,70X100X130h,measures
110,68,;,others
111,69,305,others
112,70,;,others
113,71,MAINE SCENE,others
114,72,INC;,others
115,73,4862,others
116,74,UNION,others
117,75,MAINE,others
118,76,-,others
119,77,USA,others
120,78,;,others
121,79,5,others
122,80,;,others
123,81,70X100X150h,measures
124,82,;,others
125,83,2420,others
126,84,;,others
127,85,EASTERN,others
128,86,ILLUSTRATING;,others
129,87,4862,others
130,88,UN,others
131,89,ION,others
132,90,MAINE,others
133,91,-,others
134,92,USA,others
135,93,;,others
136,94,1,others
137,95,;,others
138,96,70X100X80h,measures
139,97,;,others
140,98,230,others
141,99,;,others
142,100,VERMONT ILLUSTRATING,others
143,101,;,others
144,102,3784,others
145,103,WEST LEBANON,others
146,104,-,others
147,105,USA,others
148,106,;,others
149,107,2,others
150,108,;,others
151,109,70X100X150h,measures
152,110,;,others
153,111,550; 9; 3505,others
154,0,Ciao,others
155,1,Mirko;,others
156,2,avrei,others
157,3,bisogno,others
158,4,per,others
159,5,cortesia,others
160,6,della,others
161,7,quotazione,others
162,8,per,others
163,9,il,others
164,10,seguente,others
165,11,trasporto:;,others
166,12,Ritiro,others
167,13,presso;,others
168,14,CARTOTECNICA,others
169,15,2,others
170,16,EMME,others
171,17,"; QUARTIERE PRÃ‰, 17/21;",others
172,18,36061,others
173,19,â€“ BASSANO DEL GRAPPA (VI);,others
174,20,MATERIALE:;,others
175,21,NÂ°,others
176,22,3,quantity
177,23,BANCALI,package_type
178,24,100X120X140H,measures
179,25,PESO,others
180,26,COPLESSIVO,others
181,27,DI,others
182,28,1650KG,weight
183,29,;,others
184,30,MATERIALE,others
185,31,DISPONIBILE,others
186,32,AL,others
187,33,RITIRO;,others
188,34,Consegna,others
189,35,presso;,others
190,36,4317,others
191,37,"EAST PARKWAY; GATLINBURG,",others
192,38,37738,others
193,39,"; TENNESEE,",others
194,40,USA,others
195,0,Ciao,others
196,1,"Dario,;",others
197,2,;Dovrei,others
198,3,spedire,others
199,4,negli,others
200,5,UAE,others
201,6,un,others
202,7,pallet,others
203,8,90x145xH70 cm,measures
204,9,del,others
205,10,peso,others
206,11,lordo,others
207,12,complessivo,others
208,13,di,others
209,14,120 kg.,weight
210,15,;,others
211,16,;Destinatario:;,others
212,17,;Sheikh,others
213,18,Abdulla,others
214,19,Bi,others
215,20,Rashid,others
216,21,Al,others
217,22,Mualla,others
218,23,;,others
219,24,King Faisal Road ;,others
220,25,5000,others
221,26,Al Quwain City UAQ,others
222,0,Ciao,others
223,1,"Dario,;tra",others
224,2,fine,others
225,3,Giugno,others
226,4,e,others
227,5,inizio,others
228,6,Luglio,others
229,7,avremo,others
230,8,una,others
231,9,nuova,others
232,10,spedizione,others
233,11,per,others
234,12,il,others
235,13,cliente,others
236,14,in,others
237,15,oggetto.;,others
238,16,;Ti,others
239,17,chiedo,others
240,18,quindi,others
241,19,quotazione,others
242,20,per,others
243,21,i,others
244,22,seguenti,others
245,23,I,others
246,24,MB,commodity
247,25,ALLI:;No.,others
248,26,24,others
249,27,Cartoni,others
250,28,100x40x20cm/cad,others
251,29,â€“,others
252,30,n.w.,others
253,31,20kg/cad â€“ g.w. 22kg/cad,others
254,32,;No.,others
255,33,12,others
256,34,Cartoni,others
257,35,103x51x31cm/cad,others
258,36,â€“,others
259,37,n.w.,others
260,38,30kg/cad â€“ g.w. 32kg/cad,others
261,39,;TOTALE:,others
262,40,36,others
263,41,COLLI,others
264,42,-,others
265,43,TOTALE,others
266,44,LORDO:,others
267,45,912KG,weight
268,46,;,others
269,47,;Ti,others
270,48,chiedo,others
271,49,per,others
272,50,cortesia,others
273,51,di,others
274,52,"indicarmi,",others
275,53,nella,others
276,54,"quotazione,",others
277,55,la,others
278,56,percentuale,others
279,57,da,others
280,58,applicare,others
281,59,per,others
282,60,il,others
283,61,calcolo,others
284,62,dellâ€™assicurazione.;,others
285,63,;Grazie,others
286,64,per,others
287,65,la,others
288,66,collaborazione,others
289,67,e,others
290,68,buona,others
291,69,giornata;,others
292,70,;Clarissa,others
293,71,Griotti;,others
294,72,;C.D. Europe SRL,company
295,0,Ciao,others
296,1,Sonia;,others
297,2,;Mi,others
298,3,servirebbe,others
299,4,una,others
300,5,quotazione,others
301,6,indicativa,others
302,7,per,others
303,8,spedire,others
304,9,a,others
305,10,Belgrado,delivery_port
306,11,;,others
307,12,;,others
308,13,3,quantity
309,14,colli,package_type
310,15,45x45x140 cm,measures
311,16,â€“,others
312,17,peso,others
313,18,lordo,others
314,19,150 Kg,weight
315,20,;,others
316,21,;,others
317,22,;Non,others
318,23,tribulare,others
319,24,"troppo,",others
320,25,tanto,others
321,26,fino,others
322,27,a,others
323,28,settembre,others
324,29,non,others
325,30,se,others
326,31,ne,others
327,32,fa,others
328,33,"nulla,",others
329,34,perchÃ©,others
330,35,momentaneamente,others
331,36,non,others
332,37,possono,others
333,38,importare,others
334,39,nulla,others
335,40,(il,others
336,41,loro,others
337,42,governo,others
338,43,ha,others
339,44,sospeso,others
340,45,le,others
341,46,licenze,others
342,47,dopo,others
343,48,varie,others
344,49,sparatorie,others
345,50,avvenute,others
346,51,nei,others
347,52,mesi,others
348,53,scorsi).;Solo,others
349,54,che,others
350,55,se,others
351,56,non,others
352,57,gli,others
353,58,mando,others
354,59,una,others
355,60,"quotazione,",others
356,61,mi,others
357,62,stressano,others
358,63,da,others
359,64,morire!;,others
360,65,;Grazie,others
361,66,mille,others
362,67,e,others
363,68,buon,others
364,69,lavoro;,others
365,70,;Cordialmente,others
366,71,/,others
367,72,Kind,others
368,73,regards;Nicole,others
369,74,Ghirardini;;,others
370,75,SABATTI SPA,company
371,0,Ciao,others
372,1,"Sonia,;",others
373,2,Eccomi,others
374,3,con,others
375,4,le,others
376,5,misure,others
377,6,e,others
378,7,peso,others
379,8,(indicativo):,others
380,9,;PESO:,others
381,10,178 Kgs,weight
382,11,circa,others
383,12,;;NR.,others
384,13,9,others
385,14,CRTNS TOTALI;MISURE CARTONI,others
386,15,:,others
387,16,NR.,others
388,17,8,quantity
389,18,-,others
390,19,CM,measures
391,20,50X43X31,measures
392,21,+,others
393,22,NR.,others
394,23,1,quantity
395,24,-,others
396,25,CM,others
397,26,110X36X60,measures
398,27,;;;Speriamo,others
399,28,di,others
400,29,riuscire,others
401,30,ad,others
402,31,essere,others
403,32,pronti,others
404,33,mercoledÃ¬,others
405,34,prossimo.;Ti,others
406,35,riaggiorno;;;Grazie,others
407,36,mille,others
408,37,"intanto,;Roberta;;;Il",others
409,38,5/5/2023,others
410,39,"09:49,",others
411,40,Tanfoglio Export Dept.,others
412,41,ha,others
413,42,scritto:;;,others
414,43,Buongiorno,others
415,44,a,others
416,45,"tutti,;",others
417,46,La,others
418,47,settimana,others
419,48,prossima,others
420,49,dobbiamo,others
421,50,spedire,others
422,51,delle,others
423,52,armi,others
424,53,in,others
425,54,Portogallo.;,others
426,55,Si,others
427,56,tratta,others
428,57,di,others
429,58,nr.,others
430,59,80,others
431,60,PISTOLE,others
432,61,S.A.,others
433,62,+,others
434,63,nr.,others
435,64,4,others
436,65,CARABINE,others
437,66,S.A.;,others
438,67,Non,others
439,68,ho,others
440,69,ancora,others
441,70,"dettagli,",others
442,71,ve,others
443,72,li,others
444,73,faccio,others
445,74,avere,others
446,75,al,others
447,76,piÃ¹,others
448,77,presto.;,others
449,78,;,others
450,79,Dobbiamo,others
451,80,prenotare,others
452,81,il,others
453,82,primo,others
454,83,volo,others
455,84,disponibile,others
456,85,per,others
457,86,consegnare,others
458,87,la,others
459,88,merce,others
460,89,al,others
461,90,cliente,others
462,91,entro,others
463,92,il,others
464,93,17,others
465,94,maggio.;,others
466,95,;,others
467,96,;,others
468,97,;,others
469,98,Grazie,others
470,99,e,others
471,100,buon,others
472,101,"lavoro,;",others
473,102,Roberta;,others
474,103,;,others
475,104,--,others
476,105,;,others
477,106,;,others
478,107,Cordiali,others
479,108,Saluti,others
480,109,/,others
481,110,Best,others
482,111,regards;,others
483,112,;,others
484,113,Export,others
485,114,Department;,others
486,115,Roberta,others
487,116,Bianchi;,others
488,117,FRATELLI TANFOGLIO S.R.L.,company
489,118,;,others
490,119,Via,others
491,120,Valtrompia,others
492,121,39-41;,others
493,122,25063,others
494,0,Ciao,others
495,1,"Mirko,;con",others
496,2,questa,others
497,3,mail,others
498,4,ti,others
499,5,chiedo,others
500,6,offerta,others
501,7,sia,others
502,8,via,others
503,9,mare,others
504,10,che,others
505,11,aereo,others
506,12,per,others
507,13,la,others
508,14,spedizione,others
509,15,di,others
510,16,1,others
511,17,pallet di,others
512,18,"pastiglie fumiganti,",others
513,19,no,others
514,20,ADR/IMO/IATA,others
515,21,al,others
516,22,cliente,others
517,23,in,others
518,24,packing,others
519,25,list.;Considera,others
520,26,Sydney,others
521,27,come,others
522,28,porto/aeroporto,others
523,29,di,others
524,30,arrivo.;Per,others
525,31,lâ€™aereo,others
526,32,Ã¨,others
527,33,necessaria,others
528,34,la,others
529,35,stiva,others
530,36,pressurizzata.;Grazie;,others
531,37,;Cordiali,others
532,38,saluti/Best,others
533,39,"regards,;Claudia",others
534,40,Gorlani;,others
535,41,KEMPER SRL,company
536,0,Ciao,others
537,1,"Dario,;il",others
538,2,cliente,others
539,3,ha,others
540,4,aggiornato,others
541,5,le,others
542,6,quantita,others
543,7,per,others
544,8,questa,others
545,9,richiesta..,others
546,10,Pertanto,others
547,11,ho,others
548,12,biasgno,others
549,13,di,others
550,14,una,others
551,15,quotazione,others
552,16,aggiornata,others
553,17,con,others
554,18,carattere,others
555,19,urgente,others
556,20,come,others
557,21,segue:;;CONSEGNA,others
558,22,PRESSO;Pyrotechnique,others
559,23,by,others
560,24,GRUCCI;,others
561,25,4050,pickup_cap
562,26,Peppers Ferry Rd.,pickup_location
563,27,-,others
564,28,C/O,others
565,29,RFAAP;VA,others
566,30,24141,pickup_cap
567,31,Radford â€“ USA,company
568,0,50x50x150 cm;,measures
569,1,;,others
570,2,;Cordialmente,others
571,3,/,others
572,4,Kind,others
573,5,regards;Nicole,others
574,6,Ghirardini;;,others
575,7,"SABATTI SPA;Via Alessandro Volta, 90;",others
576,8,25063,others
577,9,"Gardone Val Trompia - Brescia,",others
578,10,Italia,others
579,0,Buongiorno,others
580,1,a,others
581,2,"tutti,;",others
582,3,;avrei,others
583,4,bisogno,others
584,5,della,others
585,6,vostra,others
586,7,miglior,others
587,8,quotazione,others
588,9,per,others
589,10,la,others
590,11,destinazione;,others
591,12,MONEDA,pickup_location
592,13,2723,others
593,14,;SANTIAGO CHILE;CILE,others
594,15,;,others
595,16,;Si,others
596,17,tratta,others
597,18,di,others
598,19,merce,others
599,20,a,others
600,21,nulla,others
601,22,osta.;,others
602,23,;Vi,others
603,24,do,others
604,25,le,others
605,26,dimensioni,others
606,27,sia,others
607,28,a,others
608,29,cartoni che palette,others
609,30,.,others
610,31,Fatemi,others
611,32,avere,others
612,33,per,others
613,34,cortesia,others
614,35,la,others
615,36,quotazione,others
616,37,per,others
617,38,entrambi.;,others
618,39,;Dovrebbero,others
619,40,essere,others
620,41,21,others
621,42,cartoni,others
622,43,39x29x24,others
623,44,per,others
624,45,un,others
625,46,peso,others
626,47,totale,others
627,48,di,others
628,49,circa,others
629,50,110kg,weight
630,51,;Oppure,others
631,52,1,others
632,53,paletta,others
633,54,120x80x100,others
634,55,per,others
635,56,un,others
636,57,peso,others
637,58,di,others
638,59,115 kg.,others
639,60,;,others
640,61,;,others
641,62,;Vi,others
642,63,ringrazio,others
643,64,e,others
644,65,resto,others
645,66,a,others
646,67,disposizione;,others
647,68,;Buon,others
648,69,lavoro;,others
649,70,;,others
650,71,;Luigi,others
651,72,Buffoli;,others
652,73,;,others
653,74,;,others
654,75,Chiappa Firearms SRL,company
655,0,Ciao,others
656,1,"Sonia,",others
657,2,;,others
658,3,;per,others
659,4,favore,others
660,5,mi,others
661,6,servirebbe,others
662,7,preventivo,others
663,8,per,others
664,9,spedizione,others
665,10,in,others
666,11,Kuwait,delivery_port
667,12,(,others
668,13,Kuwait,others
669,14,City),others
670,15,per:;,others
671,16,;n.,others
672,17,4,others
673,18,cartoni,others
674,19,;kg. 125,others
675,20,;mc,others
676,21,"0,4",others
677,22,;,others
678,23,;grazie;,others
679,24,;Martina,others
680,25,LEPRI;International,others
681,26,Sales,others
682,27,Dept.;,others
683,28,;;,others
684,29,;FABARM S.p.A.,company
685,30,";Via Averolda,31",others
686,31,I,others
687,32,25039,others
688,33,TRAVAGLIATO (BS),others
689,34,I,others
690,35,ITALY,others
691,0,Buongiorno,others
692,1,Sonia!!;,others
693,2,;Ho,others
694,3,bisogno,others
695,4,di,others
696,5,chiederti,others
697,6,una,others
698,7,quotazione,others
699,8,per,others
700,9,il,others
701,10,Fierce,others
702,11,USA,delivery_state
703,12,;,others
704,13,;,others
705,14,28,quantity
706,15,cartoni,package_type
707,16,;Peso,others
708,17,(stimato),others
709,18,575 kg,weight
710,19,;,others
711,20,;Sul,others
712,21,03/07;,others
713,22,;Grazie;,others
714,23,;Barbara;,others
715,24,;RIZZINI SRL,company
716,25,;,others
717,26,Via 2 Giugno 7/7 bis,others
718,27,;,others
719,28,25060,others
720,29,MARCHENO ( BS ),others
721,0,"Buongiorno,",others
722,1,avrei,others
723,2,bisogno,others
724,3,gentilmente,others
725,4,di,others
726,5,due,others
727,6,preventivi.,others
728,7,;Uno,others
729,8,per,others
730,9,un,others
731,10,bancale,package_type
732,11,via,others
733,12,aerea,others
734,13,e,others
735,14,lâ€™altro,others
736,15,per,others
737,16,due,quantity
738,17,bancali,package_type
739,18,via,others
740,19,mare.;,others
741,20,;CPT,others
742,21,SANTA MARTA,pickup_location
743,22,;,others
744,23,1,others
745,24,pallet,others
746,25,80x60x60h,measures
747,26,;,others
748,27,Kg 100,weight
749,28,;,others
750,29,Non sovrapponibile,stackable
751,30,;,others
752,31,Avremmo,others
753,32,bisogno,others
754,33,di,others
755,34,sapere,others
756,35,anche,others
757,36,il,others
758,37,transit,others
759,38,time,others
760,39,;,others
761,40,;CFR,others
762,41,CARTAGENA,others
763,42,;,others
764,43,1,others
765,44,pallet,others
766,45,120x80x50h,measures
767,46,;,others
768,47,Kg 320,weight
769,48,;,others
770,49,Non sovrapponibile,stackable
771,50,;,others
772,51,;,others
773,52,1,others
774,53,pallet,others
775,54,170x85x135h,measures
776,55,;,others
777,56,Kg 350,weight
778,57,;,others
779,58,Non sovrapponibile,stackable
780,0,"Buongiorno,",others
781,1,avrei,others
782,2,bisogno,others
783,3,di,others
784,4,un,others
785,5,preventivo,others
786,6,sia,others
787,7,via,others
788,8,mare,others
789,9,che,others
790,10,via,others
791,11,aereo,others
792,12,del,others
793,13,seguente,others
794,14,pallet.;,others
795,15,;,others
796,16,CPT,incoterms
797,17,CH,others
798,18,ILE,others
799,19,", SANTIAGO-",others
800,20,VIA,others
801,21,AERE,others
802,22,O,others
803,23,;,others
804,24,1,quantity
805,25,PALLET,package_type
806,26,120x80x95,measures
807,27,;Peso,others
808,28,280kg,weight
809,29,;,others
810,30,Non sovrapponibile,stackable
814,34,;,others
815,35,CIF,incoterms
816,36,CHILE,others
817,37,", S",others
818,38,ANTI,others
819,39,AGO,others
820,40,-,others
821,41,VIA,others
822,42,MARE;,others
823,43,1,quantity
824,44,PALLET,package_type
825,45,120x80x95,measures
826,46,;Peso,others
827,47,280kg,weight
828,48,;,others
829,49,Non sovrapponibile,stackable
830,0,Ciao,others
831,1,"Sonia,;",others
832,2,;mi,others
833,3,mandi,others
834,4,quotazione,others
835,5,per,others
836,6,Powell,delivery_port
837,7,nr.,others
838,8,3,quantity
839,9,cartoni,package_type
840,10,kg lordi 30,weight
841,11,;,others
842,12,;sul,others
843,13,10,others
844,14,o,others
845,15,12,others
846,16,luglio?;,others
847,17,";Grazie,;",others
848,18,;Barbara;,others
849,19,;RIZZINI SRL,company
850,20,;,others
851,21,Via 2 Giugno 7/7 bis,others
852,22,;,others
853,23,25060,others
854,24,MARCHENO ( BS ),others
855,0,Ciao,others
856,1,Sonia;,others
857,2,Avrei,others
858,3,bisogno,others
859,4,di,others
860,5,quotazione,others
861,6,per,others
862,7,la,others
863,8,prossima,others
864,9,spedizione,others
865,10,in,others
866,11,Norvegia,pickup_state
867,12,:;,others
868,13,NR.,others
869,14,15,quantity
870,15,CRTNS,package_type
871,16,TOTALI:;,others
872,17,-,others
873,18,NR.,others
874,19,14,quantity
875,20,-,others
876,21,CM 50X43X31,measures
877,22,;,others
878,23,-,others
879,24,NR.,others
880,25,1,quantity
881,26,-,others
882,27,CM 35X32X29,package_type
883,28,;,others
884,29,PESO,others
885,30,TOTALE:,others
886,31,321 Kg,weight
887,32,;,others
888,33,Si,others
889,34,tratta,others
890,35,di,others
891,36,pistole e parti d'arma.;,others
892,37,Grazie,others
893,38,e,others
894,39,buon,others
895,40,"lavoro,;",others
896,41,Roberta,others
897,42,;--,others
898,43,;Cordiali,others
899,44,Saluti,others
900,45,/,others
901,46,Best,others
902,47,regards;,others
903,48,Export,others
904,49,Department;,others
905,50,Roberta,others
906,51,Bianchi;,others
907,52,FRATELLI TANFOGLIO S.R.L.,company
908,0,"Ciao,",others
909,1,;mi,others
910,2,serve,others
911,3,quotazione,others
912,4,per,others
913,5,Armenia,delivery_state
914,6,Aspar Arms LLC,incoterms
915,7,;,others
916,8,13,quantity
917,9,COLLI,package_type
918,10,"KG 213,55",weight
919,11,120X40X40;,measures
920,12,;Date,others
921,13,mercoledÃ¬â€™,others
922,14,7-May,others
923,15,lunedi,others
924,16,10/07;Attendo,others
925,17,quotazione,others
926,18,per,others
927,19,fattura;Grazie,others
928,20,;Nicola,others
929,21,;,others
930,22,;Armeria,others
931,23,Brignoli,company
932,24,Silvio,company
933,25,&,company
934,26,c,company
935,27,snc;Via,company
936,28,Alfieri 6;25063 Gardone V,company
937,0,Ciao,others
938,1,a,others
939,2,tutti!;Riuscireste,others
940,3,per,others
941,4,cortesia,others
942,5,a,others
943,6,darmi,others
944,7,quotazione,others
945,8,aggiornata,others
946,9,sulla,others
947,10,base,others
948,11,della,others
949,12,richiesta,others
950,13,sottostante?;,others
951,14,;Grazie,others
952,15,mille,others
953,16,e,others
954,17,buona,others
955,18,giornata.;,others
956,19,;Clarissa,others
